Job Title,Company Name,Location,Job Type,Level,Years of Experience,Skills,Country
Subject Matter Expert - Front End,Globant,"Riyadh, Saudi Arabia",Full Time,N/A,N/A,"Experienced, · Customer Service/Support, · Analyst/Research, · Education/Teaching, · Subject Matter Expert, · Education, · SME, · Teaching, · Curriculum Development, · Educational Consultation, · Call Center",Egypt
Senior Data Scientist,Mozn,"Riyadh, Saudi Arabia",Full Time,N/A,N/A,"Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · Computer Science, · Information Technology (IT), · SQL, · Python, · Engineering, · Data Analysis, · Software Development",Egypt
Senior Data Scientist (Computer Vision),Revolut,"دبي, الإمارات العربية المتحدة",دوام كامل,N/A,N/A,"ذو خبرة, · تكنولوجيا المعلومات/تطوير البرمجيات, · المحلل/البحث, · الهندسة - الاتصالات/التكنولوجيا, · Computer Science, · Information Technology (IT), · SQL, · Python, · Engineering, · Data Analysis, · Software Development",Egypt
Artificial Intelligence Engineer,AlgoDriven,"دبي, الإمارات العربية المتحدة",دوام كامل,N/A,N/A,"ذو خبرة, · تكنولوجيا المعلومات/تطوير البرمجيات, · المحلل/البحث, · الهندسة - الاتصالات/التكنولوجيا, · Artificial Intelligence, · Computer Science, · Information Technology (IT), · Software Engineering, · Computer Engineering, · Software Development, · Engineering",Egypt
AI & Data Science Engineer,Raya Distribution,"القاهرة, مصر","دوام كامل, عمل من مقر الشركة",N/A, 1+ Yrs of Exp,"مستوى مبتدئ, · تكنولوجيا المعلومات/تطوير البرمجيات, · الهندسة - الاتصالات/التكنولوجيا, · AI, · Computer Engineering, · Computer Science, · Data Science, · Information Technology (IT), · Software Engineering, · Python, · SQL",Egypt
Technical sales engineer- Automation,RMS,"المهندسين, الجيزة, مصر","دوام كامل, عمل من مقر الشركة",N/A, 1 - 3 Yrs of Exp,"ذو خبرة, · تطوير الأعمال, · المبيعات/التجزئة, · الهندسة - الميكانيكية/الكهربائية, · Communication, · Negotiation, · Technical Presentations",Egypt
Data Analyst – Analytics & Knowledge Delivery,EpsilonAI,"مدينة نصر, القاهرة, مصر","دوام كامل, عمل هجين",N/A, 0 - 3 Yrs of Exp,"مستوى مبتدئ, · تكنولوجيا المعلومات/تطوير البرمجيات, · المحلل/البحث, · Data Analysis, · Database SQL Server, · MySQL, · Data Analytics, · Big Data Analytics, · Microsoft Excel, · Power BI, · Microsoft Power BI",Egypt
Senior Data Analyst,Al Ahly capital holding Al Ahly Tamkeen,"الزمالك, القاهرة, مصر","دوام كامل, عمل من مقر الشركة",N/A, 5 - 7 Yrs of Exp,"ذو خبرة, · تكنولوجيا المعلومات/تطوير البرمجيات, · المحلل/البحث, · الهندسة - الاتصالات/التكنولوجيا, · Microsoft SQL, · SQL, · Power BI",Egypt
Data Scientist – Computer Vision & Financial Intelligence,Erada,"المعادي, القاهرة, مصر","دوام كامل, عمل من مقر الشركة",N/A, 3+ Yrs of Exp,"ذو خبرة, · الهندسة - الاتصالات/التكنولوجيا, · Data Science, · Data Analytics, · AI, · Computer Engineering, · Computer Science, · Computer Vision, · OCR",Egypt
Call Center Representative,New Star ,"القاهرة, مصر","دوام كامل, عمل من مقر الشركة",N/A, 1 - 3 Yrs of Exp,"مستوى مبتدئ, · خدمة العملاء/الدعم, · Customer Service, · Customer Care, · Client Support, · CS, · Support Services, · Technical Support, · Customer Satisfaction, · Customer Operations Performance Centre, · Customer Service Management",Egypt
Senior Data Engineer,Vertex Technologies ,"القاهرة, مصر","دوام كامل, عمل من مقر الشركة",N/A, 4+ Yrs of Exp,"ذو خبرة, · تكنولوجيا المعلومات/تطوير البرمجيات, · Data Engineering, · Python, · Scala, · Databricks, · SQL, · Dimensional Modeling, · OLTP/OLAP, · Cloud Platforms (AWS, Azure, GCP)",Egypt
Statistics and Data Science - Assistant Professor Tenure Track,American University of Kuwait (AUK),"دبي, الإمارات العربية المتحدة",دوام كامل,N/A,N/A,"مستوى مبتدئ, · تكنولوجيا المعلومات/تطوير البرمجيات, · المحلل/البحث, · الهندسة - الاتصالات/التكنولوجيا, · Computer Science, · Statistics, · Information Technology (IT), · SQL, · Data Analysis, · Python, · Analysis",Egypt
Production Engineer,El-Obour for Paper Production,"العبور, القاهرة, مصر","دوام كامل, عمل من مقر الشركة",N/A, 3 - 5 Yrs of Exp,"ذو خبرة, · التصنيع/الإنتاج, · Manufacturing operations management, · Production process optimization, · Troubleshooting and problem-solving, · Team collaboration, · Process improvement, · Data analysis and reporting, · Technical documentation, · Health and safety compliance, · Root Cause Analysis",Egypt
Cnc sheet metal maintenance engineer,Promech Engineering,"المعادي, القاهرة, مصر","دوام كامل, عمل من مقر الشركة",N/A, 3 - 5 Yrs of Exp,"ذو خبرة, · التصنيع/الإنتاج, · Engineering, · Sheet Metal, · Maintenance, · Mechanical Engineering, · Metal, · CNC, · Production",Egypt
Mechanical Engineer,Alex Apparels for Garment Manufacturing ,"العامرية, الإسكندرية, مصر","دوام كامل, عمل من مقر الشركة",N/A, 2 - 4 Yrs of Exp,"ذو خبرة, · الهندسة - الميكانيكية/الكهربائية, · Mechanical system design, · Mechanical Engineering, · Maintenance Engineering, · English, · Engineering Software, · Safety Regulations",Egypt
Electrical Electronics Engineer,sofipack ,"بدر, القاهرة, مصر","دوام كامل, عمل من مقر الشركة",N/A, 8 - 20 Yrs of Exp,"إدارة عليا, · الهندسة - الميكانيكية/الكهربائية, · Engineering, · Electrical Engineering, · Electronic Engineering",Egypt
Barista,BoHub ,"مدينة نصر, القاهرة, مصر","دوام كامل, عمل من مقر الشركة",N/A,N/A,"مستوى مبتدئ, · الضيافة/الفنادق/خدمات الطعام, · المبيعات/التجزئة, · Coffee preparation, · Customer service, · Cash handling, · Teamwork, · Attention to detail, · Communication, · Multitasking, · Sanitation and safety",Egypt
Middle Automation QA engineer,Vertex Technologies ,"Cairo, Egypt","Full Time, On-site",N/A, 2+ Yrs of Exp,"Experienced, · IT/Software Development, · Quality, · Test Automation, · Selenium, · Cypress, · CI/CD, · API Testing, · Agile Methodologies, · Bug Tracking, · Quality Assurance",Egypt
AI Engineer Instructor (Part-Time),Senior Steps,"Nasr City, Cairo, Egypt","Part Time, Hybrid",N/A, 1 - 6 Yrs of Exp,"Experienced, · R&D/Science, · IT/Software Development, · Training/Instructor, · AI Engineer Instructor, · AI Instructor, · Artificial Intelligence Trainer, Machine Learning Instructor, Deep Learning Specialist, · AI Engineer, Machine Learning Engineer",Egypt
Full-stack .Net Core and Angular Developer,Syscodeia,"New Cairo, Cairo, Egypt","Full Time, On-site",N/A, 5 - 15 Yrs of Exp,"Experienced, · IT/Software Development, · Agile, · Computer Science, · core, · Angular, · CSS, · Github, · Microservices, · Information Technology (IT), · JavaScript",Egypt
Pavement Assessment Engineer,Citylogix ME  ,"New Cairo, Cairo, Egypt","Full Time, On-site",Entry Level, 0 - 4 Yrs of Exp,"· Engineering - Construction/Civil/Architecture, · Engineering - Other, · Engineering Services, · Roads, · Transportation engineering, · Engineering, · QA, · Highways",Egypt
Data Analyst,HIGHBASE TRADING W.L.L,"Cairo, Egypt","Full Time, Remote",N/A, 4 - 6 Yrs of Exp,"Experienced, · IT/Software Development, · Data Analysis, · SQL, · Excel, · Power BI, · Python",Egypt
AIOps Engineer,Dewan Architects and Engineers ,"New Cairo, Cairo, Egypt","Full Time, On-site",N/A, 2 - 4 Yrs of Exp,"Experienced, · IT/Software Development, · AWS Cloudformation, · AWS Cloud, · ITIL, · Agile Software, · Certified ScrumMaster",Egypt
Head Of Technology,Saudi Tracking Solutions,"Cairo, Egypt","Full Time, On-site",N/A, 10+ Yrs of Exp,"Senior Management, · IT/Software Development, · Leadership, · Technology Strategy, · Software Development, · Budget Management, · Team Building, · IoT Solutions, · Engineering Leadership, · Project Management, · Strategic Planning",Egypt
Civil Engineer,Citylogix ME  ,"New Cairo, Cairo, Egypt","Full Time, On-site",Entry Level, 0 - 2 Yrs of Exp,"· Engineering - Construction/Civil/Architecture, · Engineering, · Communication, · Pavement, · Roads, · English, · quality, · Construction, · Engineering Services",Egypt
Chief Technology Officer,Confidential,"Cairo, Egypt","Full Time, On-site",N/A, 10+ Yrs of Exp,"Senior Management, · IT/Software Development, · Engineering - Telecom/Technology, · Leadership, · Technology Strategy, · Software Development, · Budget Management, · Team Building, · IoT Solutions",Egypt
Product Manager (AI x Web3 Security),Hyphen Connect,"Dubai, United Arab Emirates",Full Time,N/A,N/A,"Not specified, · IT/Software Development, · Marketing/PR/Advertising, · Sales/Retail, · Product Management, · Marketing, · Sales, · Information Technology (IT), · Computer Science, · Project Management, · Sales Skills",Egypt
Maintenance Manager,Soul Water Filter  ,"10th of Ramadan City, Sharqia, Egypt","Full Time, On-site",N/A, 8 - 10 Yrs of Exp,"Manager, · Engineering - Mechanical/Electrical, · Maintenance Management, · Preventive Maintenance, · Budget Management, · Team Leadership, · Electrical Systems, · Water Treatment Processes, · Safety Compliance",Egypt
Health Information Technician (Remote),Nexus Consulting,"Riyadh, Saudi Arabia",Freelance / Project,N/A,N/A,"Not specified, · Installation/Maintenance/Repair, · IT/Software Development, · Engineering - Mechanical/Electrical, · information technology (it), · computer science, · engineering, · microsoft office, · medical, · management, · healthcare",Egypt
Casino Operations Manager (Remote),Nexus Consulting,"Riyadh, Saudi Arabia",Freelance / Project,N/A,N/A,"Not specified, · Logistics/Supply Chain, · Operations/Management, · Sales/Retail, · Operations, · Management, · Microsoft Office, · Sales, · Customer Service, · Planning, · Logistics",Egypt
Graphic Designer (Remote),Nexus Consulting,"Riyadh, Saudi Arabia",Freelance / Project,N/A,N/A,"Not specified, · Creative/Design/Art, · Marketing/PR/Advertising, · Media/Journalism/Publishing, · Graphic Design, · Adobe Photoshop, · Design, · Adobe Illustrator, · Adobe Indesign, · Marketing, · Social Media",Egypt
Geology Field Technician (Remote),Nexus Consulting,"Riyadh, Saudi Arabia",Freelance / Project,N/A,N/A,"Not specified, · Installation/Maintenance/Repair, · Engineering - Telecom/Technology, · Engineering - Mechanical/Electrical, · engineering, · information technology (it), · computer science, · maintenance, · production, · management, · communication skills",Egypt
Operations Managers (Remote),Nexus Consulting,"Riyadh, Saudi Arabia",Freelance / Project,N/A,N/A,"Not specified, · Administration, · Operations/Management, · Sales/Retail, · Operations, · Management, · Sales, · Microsoft Office, · Customer Service, · Administration, · Sales Skills",Egypt
Sales Director – Middle East (Dubai),Clari5 A Perfios Company,"Dubai, United Arab Emirates",Full Time,N/A,N/A,"Not specified, · Customer Service/Support, · Marketing/PR/Advertising, · Sales/Retail, · sales, · sales skills, · marketing, · customer service, · management, · mba, · communication",Egypt
Research Assistant,"United Arab Emirates University, Department of Family Medicine","Dubai, United Arab Emirates",Full Time,N/A,N/A,"Not specified, · Administration, · Marketing/PR/Advertising, · Analyst/Research, · Research, · Administration, · Microsoft Office, · Secretary, · Office Management, · Market Research, · Communication Skills",Egypt
Risk Analyst (Remote),Nexus Consulting,"Riyadh, Saudi Arabia",Freelance / Project,N/A,N/A,"Not specified, · Accounting/Finance, · IT/Software Development, · Analyst/Research, · Accounting, · Financial Analysis, · Risk Management, · Finance, · Information Technology (IT), · Analysis, · Computer Science",Egypt
Safety Officer (Remote),Keystone Recruitment,"Dubai, United Arab Emirates",Freelance / Project,N/A,N/A,"Not specified, · Engineering - Construction/Civil/Architecture, · Quality, · Engineering - Other, · Quality, · Safety, · Engineering, · Quality Assurance, · Quality Control, · HSE, · Microsoft Office",Egypt
Financial and Investment Analysts (Remote),Nexus Consulting,"Riyadh, Saudi Arabia",Freelance / Project,N/A,N/A,"Not specified, · Accounting/Finance, · IT/Software Development, · Analyst/Research, · Finance, · Financial Analysis, · Accounting, · Microsoft Office, · Commerce, · Financial Management, · Analysis",Egypt
Logistics Coordinator (Remote),Nexus Consulting,"Riyadh, Saudi Arabia",Freelance / Project,N/A,N/A,"Not specified, · Administration, · Customer Service/Support, · Logistics/Supply Chain, · Logistics, · Supply Chain, · Microsoft Office, · Administration, · Customer Service, · Shipping, · Customer Support",Egypt
Statistical Analyst (Remote),Nexus Consulting,"Riyadh, Saudi Arabia",Freelance / Project,N/A,N/A,"Not specified, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · Statistics, · Analysis, · Analyst, · Computer Science, · Business Analysis, · Economics, · Data Analyst",Egypt
GIS Specialist  (Remote),Nexus Consulting,"Riyadh, Saudi Arabia",Freelance / Project,N/A,N/A,"Not specified, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · GIS, · Information Technology (IT), · Computer Science, · Geographic Information System, · ArcGIS, · Computer Engineering, · English",Egypt
Senior Software Engineer,Technology Innovation Institute,"Dubai, United Arab Emirates",Full Time,N/A,N/A,"Experienced, · IT/Software Development, · Quality, · Engineering - Telecom/Technology, · Information Technology (IT), · Computer Science, · Engineering, · Software Development, · Software Engineering, · Computer Engineering, · Quality Control",Egypt
Digital Archivist (Remote),Keystone Recruitment,"Dubai, United Arab Emirates",Freelance / Project,N/A,N/A,"Not specified, · Administration, · Writing/Editorial, · archival studies, · computer skills, · english, · google suite, · metadata, · research",Egypt
Casino Operations Manager (Remote),Keystone Recruitment,"Dubai, United Arab Emirates",Freelance / Project,N/A,N/A,"Not specified, · Logistics/Supply Chain, · Operations/Management, · Sales/Retail, · Operations, · Management, · Microsoft Office, · Sales, · Customer Service, · Planning, · Logistics",Egypt
Law Clerk (Remote),Keystone Recruitment,"Dubai, United Arab Emirates",Freelance / Project,N/A,N/A,"Not specified, · Human Resources, · Legal, · Logistics/Supply Chain, · human resources (hr), · microsoft office, · personnel, · recruitment, · law, · communication, · communication skills",Egypt
Logistics Coordinator (Remote),Keystone Recruitment,"Dubai, United Arab Emirates",Freelance / Project,N/A,N/A,"Not specified, · Administration, · Customer Service/Support, · Logistics/Supply Chain, · Logistics, · Supply Chain, · Microsoft Office, · Administration, · Customer Service, · Shipping, · Customer Support",Egypt
Business Development Representative (Remote),Keystone Recruitment,"Dubai, United Arab Emirates",Freelance / Project,N/A,N/A,"Not specified, · Business Development, · Marketing/PR/Advertising, · Sales/Retail, · Business Development, · Sales, · Sales Skills, · Sales Target, · Marketing, · Customer Service, · Customer Support",Egypt
